listing_id,title,price,currency,bedrooms,bathrooms,area_m2,furnished,floor,location,details_raw,url
280337399,100 m2 2 Bedrooms Apartments for Rent in Amman Abdoun,6500,JOD,2,2,100,Furnished,Semi Ground Floor,"Abdoun, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 100 m2 | Semi Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280337399
280423585,50 m2 1 Bedroom Apartments for Rent in Amman Al Rabiah,400,JOD,1,1,50,Furnished,Fourth Floor,"Al Rabiah, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 50 m2 | Fourth Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280423585
266718709,50 m2 Studio Apartments for Rent in Amman Jubaiha,17,JOD,0,1,50,Furnished,Ground Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/266718709
279322531,45 m2 1 Bedroom Apartments for Rent in Amman 7th Circle,35,JOD,1,1,45,Furnished,Ground Floor,"7th Circle, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 45 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279322531
280777118,100 m2 Studio Apartments for Rent in Amman Jubaiha,20,JOD,0,1,100,Furnished,Ground Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 100 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280777118
279027959,165 m2 3 Bedrooms Apartments for Rent in Amman Al Rabiah,6200,JOD,3,3,165,Unfurnished,Ground Floor,"Al Rabiah, Amman",3 Bedrooms | 3 Bathrooms | Unfurnished | Surface Area: 165 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279027959
279898419,100 m2 2 Bedrooms Apartments for Rent in Amman Abdoun,950,JOD,2,2,100,Furnished,Semi Ground Floor,"Abdoun, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 100 m2 | Semi Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279898419
280627047,73 m2 1 Bedroom Apartments for Rent in Amman Jubaiha,210,JOD,1,1,73,Furnished,Ground Floor,"Jubaiha, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 73 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280627047
261063551,50 m2 Studio Apartments for Rent in Amman Jubaiha,25,JOD,0,1,50,Furnished,Ground Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/261063551
280650421,50 m2 Studio Apartments for Rent in Amman Jubaiha,20,JOD,0,1,50,Furnished,Semi Ground Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Semi Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280650421
279897671,50 m2 Studio Apartments for Rent in Amman Jubaiha,249,JOD,0,1,50,Furnished,First Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279897671
280727076,200 m2 3 Bedrooms Apartments for Rent in Amman Khalda,5000,JOD,3,3,200,Unfurnished,Second Floor,"Khalda, Amman",3 Bedrooms | 3 Bathrooms | Unfurnished | Surface Area: 200 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280727076
